iter	RMSE
0	3543.116308
1	3460.999136
2	3383.810681
3	3310.639273
4	3239.638371
5	3174.9443
6	3111.077508
7	3045.93301
8	2984.487888
9	2921.113116
10	2863.548452
11	2806.298579
12	2750.166597
13	2695.785997
14	2644.02428
15	2594.105228
16	2544.29554
17	2501.071941
18	2456.335273
19	2414.576056
20	2372.919929
21	2334.27585
22	2297.989231
23	2259.709331
24	2221.002484
25	2181.893134
26	2147.683772
27	2114.341932
28	2082.003492
29	2051.056589
30	2021.133394
31	1993.3555
32	1965.87964
33	1939.935212
34	1913.352413
35	1887.466901
36	1862.635957
37	1838.446835
38	1816.88146
39	1794.99706
40	1773.057773
41	1752.209573
42	1733.017532
43	1712.27156
44	1692.780613
45	1674.747971
46	1654.954624
47	1635.651594
48	1619.51052
49	1607.511144
50	1593.251662
51	1578.493671
52	1563.465252
53	1548.077446
54	1536.395325
55	1523.472983
56	1510.577109
57	1496.22944
58	1485.137645
59	1471.481805
60	1457.81955
61	1447.941095
62	1438.211969
63	1427.666827
64	1416.127107
65	1405.889569
66	1395.769422
67	1386.123778
68	1377.542948
69	1369.420917
70	1361.182072
71	1354.274391
72	1345.272204
73	1338.606942
74	1329.644615
75	1321.601813
76	1313.528097
77	1306.817991
78	1298.112524
79	1292.435417
80	1286.984381
81	1280.752727
82	1274.486952
83	1268.780924
84	1263.533484
85	1258.718482
86	1254.254436
87	1247.491751
88	1241.283581
89	1235.348471
90	1229.355103
91	1223.667101
92	1217.579136
93	1212.572488
94	1207.828881
95	1202.573455
96	1197.240017
97	1193.684065
98	1189.931711
99	1185.546191
100	1183.087001
101	1178.73379
102	1174.854508
103	1170.710124
104	1167.29781
105	1163.731547
106	1159.699026
107	1156.582125
108	1153.235381
109	1149.668609
110	1146.944555
111	1144.387201
112	1141.397309
113	1138.19981
114	1135.54676
115	1131.756966
116	1128.812132
117	1125.265534
118	1122.888038
119	1121.410641
120	1118.952938
121	1116.541173
122	1114.382816
123	1110.973409
124	1108.921979
125	1106.575472
126	1103.773396
127	1102.919902
128	1101.406143
129	1099.650046
130	1097.23004
131	1095.060933
132	1093.84586
133	1092.715724
134	1090.629877
135	1088.744039
136	1086.123866
137	1083.859085
138	1082.295988
139	1080.401901
140	1078.737312
141	1076.775761
142	1075.148249
143	1073.326836
144	1071.651778
145	1069.592481
146	1068.381963
147	1067.371244
148	1065.542477
149	1063.374121
150	1062.04659
151	1060.110616
152	1058.298771
153	1056.550452
154	1055.398051
155	1053.821211
156	1052.126858
157	1050.659192
158	1049.169842
159	1047.584009
160	1046.233518
161	1044.782415
162	1043.282128
163	1041.98853
164	1040.637658
165	1038.896553
166	1038.245011
167	1037.056296
168	1035.694771
169	1034.322028
170	1033.607154
171	1031.824996
172	1030.476809
173	1029.446185
174	1028.015641
175	1026.737188
176	1025.703414
177	1024.216584
178	1023.320597
179	1021.897807
180	1020.693279
181	1019.543304
182	1018.585755
183	1018.010537
184	1017.442829
185	1016.654873
186	1016.278205
187	1015.276435
188	1014.244568
189	1012.67285
190	1011.690086
191	1010.850553
192	1009.714901
193	1008.921385
194	1007.56462
195	1005.793717
196	1004.56601
197	1003.464077
198	1002.815332
199	1001.831963
200	1001.193411
201	999.9993734
202	999.3931549
203	998.3010243
204	997.1788287
205	996.3950809
206	994.7991863
207	994.1463821
208	993.1698048
209	992.5787297
210	991.8188212
211	990.7721026
212	989.8905042
213	989.262253
214	987.9186097
215	987.1495744
216	986.1940626
217	985.4802862
218	984.7670474
219	983.9286803
220	982.9353514
221	982.101087
222	980.8218051
223	979.8263902
224	978.6764912
225	977.745894
226	976.6157092
227	975.9116413
228	974.7095562
229	974.0263779
230	973.197718
231	971.8324046
232	971.4774875
233	970.6814499
234	969.7574864
235	968.7903337
236	967.7716734
237	967.219239
238	966.6763009
239	965.7671233
240	964.7236562
241	964.1348171
242	963.550889
243	962.7965423
244	962.0629157
245	961.2818568
246	960.4109781
247	958.9637119
248	958.3735868
249	957.3477203
250	956.8034282
251	955.7958686
