iter	Passed	Remaining
0	0	125
1	0	114
2	0	107
3	1	104
4	1	102
5	1	101
6	1	100
7	2	104
8	2	105
9	2	103
10	2	101
11	3	100
12	3	99
13	3	98
14	3	98
15	4	97
16	4	96
17	4	96
18	4	95
19	4	94
20	5	94
21	5	94
22	5	94
23	5	93
24	6	93
25	6	93
26	6	92
27	6	92
28	7	91
29	7	91
30	7	90
31	7	90
32	8	90
33	8	90
34	8	89
35	8	89
36	9	89
37	9	89
38	9	89
39	9	88
40	10	88
41	10	88
42	10	88
43	10	88
44	11	87
45	11	87
46	11	87
47	11	87
48	12	87
49	12	86
50	12	86
51	12	86
52	13	85
53	13	85
54	13	85
55	13	84
56	14	84
57	14	84
58	14	83
59	14	83
60	14	83
61	15	83
62	15	82
63	15	82
64	15	82
65	16	81
66	16	81
67	16	81
68	16	81
69	17	80
70	17	80
71	17	80
72	17	80
73	18	80
74	18	79
75	18	79
76	18	79
77	19	78
78	19	78
79	19	78
80	19	78
81	20	77
82	20	77
83	20	77
84	20	77
85	21	76
86	21	76
87	21	76
88	21	76
89	22	75
90	22	75
91	22	75
92	22	75
93	22	74
94	23	74
95	23	74
96	23	74
97	23	73
98	24	73
99	24	73
100	24	73
101	24	72
102	25	72
103	25	72
104	25	72
105	25	72
106	26	71
107	26	71
108	26	71
109	26	71
110	27	72
111	28	72
112	28	71
113	28	71
114	28	71
115	29	71
116	29	70
117	29	70
118	29	70
119	29	69
120	30	69
121	30	69
122	30	69
123	30	68
124	31	68
125	31	68
126	31	68
127	31	67
128	32	67
129	32	67
130	32	67
131	32	66
132	33	66
133	33	66
134	33	66
135	34	66
136	34	65
137	34	65
138	34	65
139	34	64
140	35	64
141	35	64
142	35	64
143	35	63
144	36	63
145	36	63
146	36	63
147	36	62
148	37	62
149	37	62
150	37	62
151	37	61
152	38	61
153	38	61
154	38	60
155	38	60
156	39	60
157	39	60
158	39	59
159	39	59
160	40	59
161	40	59
162	40	58
163	40	58
164	41	58
165	41	58
166	41	57
167	41	57
168	41	57
169	42	57
170	43	57
171	43	57
172	43	57
173	43	56
174	44	56
175	44	56
176	44	56
177	44	56
178	45	55
179	45	55
180	45	55
181	45	55
182	46	54
183	46	54
184	46	54
185	46	53
186	46	53
187	47	53
188	47	53
189	47	52
190	48	52
191	48	52
192	48	51
193	48	51
194	48	51
195	49	51
196	49	50
197	49	50
198	49	50
199	50	50
200	50	49
201	50	49
202	50	49
203	51	49
204	51	48
205	51	48
206	51	48
207	52	48
208	52	47
209	52	47
210	52	47
211	53	47
212	53	46
213	53	46
214	53	46
215	54	46
216	54	45
217	54	45
218	54	45
219	55	45
220	55	44
221	55	44
222	55	44
223	56	44
224	56	43
225	56	43
226	56	43
227	56	42
228	57	42
229	57	42
230	57	42
231	57	41
232	58	41
233	58	41
234	58	41
235	58	40
236	59	40
237	59	40
238	59	40
239	59	39
240	60	39
241	60	39
242	60	39
243	60	38
244	61	38
245	61	38
246	61	38
247	61	37
248	62	37
249	62	37
250	62	37
251	62	36
252	63	36
253	63	36
254	63	36
255	63	35
256	64	35
257	64	35
258	64	35
259	64	34
260	65	34
261	65	34
262	65	34
263	65	33
264	66	33
265	66	33
266	66	33
267	66	32
268	66	32
269	67	32
270	67	32
271	67	31
272	68	31
273	68	31
274	68	31
275	68	30
276	68	30
277	69	30
278	69	30
279	69	29
280	69	29
281	70	29
282	70	29
283	70	28
284	70	28
285	71	28
286	71	28
287	71	27
288	71	27
289	72	27
290	72	27
291	72	26
292	72	26
293	73	26
294	73	26
295	73	25
296	73	25
297	74	25
298	74	25
299	74	24
300	74	24
301	75	24
302	75	24
303	75	23
304	75	23
305	75	23
306	76	23
307	76	22
308	76	22
309	76	22
310	77	22
311	77	21
312	77	21
313	77	21
314	78	21
315	78	20
316	78	20
317	78	20
318	79	20
319	79	19
320	79	19
321	79	19
322	80	19
323	80	18
324	80	18
325	80	18
326	80	18
327	81	17
328	81	17
329	81	17
330	81	17
331	82	16
332	82	16
333	82	16
334	82	16
335	83	15
336	83	15
337	83	15
338	83	15
339	84	14
340	84	14
341	84	14
342	85	14
343	85	13
344	85	13
345	85	13
346	86	13
347	86	12
348	86	12
349	86	12
350	87	12
351	87	11
352	87	11
353	87	11
354	88	11
355	88	10
356	88	10
357	88	10
358	89	10
359	89	9
360	89	9
361	89	9
362	90	9
363	90	8
364	90	8
365	90	8
366	91	8
367	91	7
368	91	7
369	91	7
370	92	7
371	92	6
372	92	6
373	92	6
374	93	6
375	93	5
376	93	5
377	93	5
378	94	5
379	94	4
380	94	4
381	94	4
382	95	4
383	95	3
384	96	3
385	96	3
386	96	3
387	96	2
388	97	2
389	97	2
390	97	2
391	97	1
392	98	1
393	98	1
394	98	1
395	98	0
396	99	0
397	99	0
398	99	0
399	99	0
